"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"3001","33.872805","130.816070142857","1"
"3001","33.8726112276805","130.816521942066","2"
"3001","33.8733063483416","130.816537491008","3"
"3001","33.8733034366667","130.817377174762","4"
"3001","33.87328909","130.818712752858","5"
"3001","33.8732709061791","130.819260049891","6"
"3001","33.8732729197538","130.819488737722","7"
"3001","33.8736161622465","130.820671358762","8"
"3001","33.8737781418845","130.821244185486","9"
"3001","33.87387822","130.821822274285","10"
"3001","33.8738950701034","130.822361850837","11"
"3001","33.8724626582015","130.822478856132","12"
"3001","33.8721589392472","130.82347100296","13"
"3001","33.87243165","130.823511052857","14"
"3001","33.8729761709552","130.823735841588","15"
"3001","33.87401418","130.82335366","16"
"3001","33.8743651318051","130.823617123337","17"
"3001","33.8745726556106","130.823961496353","18"
"3001","33.8747126184013","130.824292925584","19"
"3001","33.87533726","130.82398754","20"
"3001","33.8755450217131","130.824078231801","21"
"3001","33.8759012826639","130.823857240399","22"
"3001","33.8760045193255","130.823617123996","23"
"3001","33.87598612","130.823543757143","24"
"3001","33.8759685530684","130.822836600843","25"
"3001","33.87647596","130.822637741429","26"
"3001","33.8762591393132","130.821309024113","27"
"3001","33.87654985","130.8211638","28"
"3001","33.8771035893034","130.821025176887","29"
"3001","33.87751016","130.82113029","30"
"3001","33.8783556720268","130.821625410353","31"
"3001","33.8784855756517","130.821340511545","32"
"3001","33.8788225454718","130.82152663456","33"
"3001","33.87906099","130.82091984","34"
"3001","33.878253","130.82047988","35"
"3001","33.8778625244102","130.82022354593","36"
"3001","33.8777378210786","130.820280805849","37"
"3001","33.87756218","130.82045752","38"
"3001","33.8767563205537","130.820068795264","39"
"3001","33.8766680868078","130.819954276085","40"
"3001","33.8769554393067","130.819716026083","41"
"3001","33.8769834655594","130.819487687459","42"
"3001","33.87673808","130.8194647","43"
"3001","33.8760198564646","130.819310778727","44"
"3001","33.87569414","130.81950032","45"
"3001","33.8755531302871","130.819686638516","46"
"3001","33.8746779948918","130.819920223836","47"
"3001","33.87446712","130.81990165","48"
"3001","33.8743437850821","130.819389612721","49"
"3001","33.8740918074076","130.819049788644","50"
"3001","33.8740345008537","130.818844774094","51"
"3001","33.87420776","130.81797625","52"
"3001","33.8744103758643","130.816618190743","53"
"3001","33.8745269026296","130.816255742989","54"
"3001","33.8749575231793","130.815986354762","55"
"3001","33.8743563088875","130.816025539284","56"
"3001","33.8740131541306","130.816058658992","57"
"3001","33.87388037","130.8162624","58"
"3001","33.873612510457","130.816456092856","59"
"3001","33.8733648993917","130.816542973148","60"
"3001","33.87333314","130.816248088571","61"
"3001","33.8739291826087","130.814490380548","62"
"3001","33.8734264266658","130.814723968506","63"
"3001","33.8731246772611","130.814916270098","64"
"3001","33.872805","130.816070142857","65"
"4001","33.872805","130.816070142857","1"
"4001","33.872598971161","130.816593702643","2"
"4001","33.87179264","130.81607697","3"
"4001","33.8705913013909","130.815207813753","4"
"4001","33.87003405","130.8157799","5"
"4001","33.86901555","130.81672622","6"
"4001","33.8686641829474","130.817073350797","7"
"4001","33.8680564061913","130.81745888916","8"
"4001","33.8674523568229","130.817736789295","9"
"4001","33.8669101197128","130.81788384419","10"
"4001","33.86609031","130.81788282","11"
"4001","33.8658256940328","130.817817721176","12"
"4001","33.8657577140566","130.818314864033","13"
"4001","33.8664073311766","130.818428799221","14"
"4001","33.8669570368653","130.818500985729","15"
"4001","33.86697135","130.8182507","16"
"4001","33.8669082898796","130.817947983082","17"
"4001","33.8676438885371","130.817678712578","18"
"4001","33.8683750121214","130.817273231757","19"
"4001","33.8688734412712","130.816904019454","20"
"4001","33.8691672412591","130.816603728447","21"
"4001","33.86893528","130.818193262857","22"
"4001","33.8687295","130.81937903","23"
"4001","33.868574","130.820209285714","24"
"4001","33.8683693787901","130.821291503606","25"
"4001","33.86826585","130.821336161429","26"
"4001","33.8673645399192","130.821426809164","27"
"4001","33.8670968286237","130.821464010222","28"
"4001","33.86696552","130.82126228","29"
"4001","33.8667063882793","130.820893864059","30"
"4001","33.8665922140025","130.821261094878","31"
"4001","33.8666147654382","130.82162750824","32"
"4001","33.86711021","130.82210554","33"
"4001","33.8674988005038","130.822434620018","34"
"4001","33.86848961","130.822631394286","35"
"4001","33.8688025245995","130.822713803221","36"
"4001","33.8690446870866","130.822526281395","37"
"4001","33.86928817","130.82212408","38"
"4001","33.8694794445518","130.821980042637","39"
"4001","33.8697078938349","130.822057710626","40"
"4001","33.8700632175644","130.822538059834","41"
"4001","33.87027411","130.82266973","42"
"4001","33.870453166886","130.822964764203","43"
"4001","33.8707039721189","130.823145288675","44"
"4001","33.8709310968349","130.823161266845","45"
"4001","33.8706435125931","130.822572695416","46"
"4001","33.8705210695024","130.822190655071","47"
"4001","33.87065766","130.82203583","48"
"4001","33.8707967018819","130.821935845544","49"
"4001","33.8708908692571","130.821559286679","50"
"4001","33.87091853","130.82021403","51"
"4001","33.8709374797229","130.819448736403","52"
"4001","33.8714292630424","130.819203141158","53"
"4001","33.8717294067191","130.818965357426","54"
"4001","33.87184164","130.818651425714","55"
"4001","33.8722494006174","130.817595680831","56"
"4001","33.8725876460256","130.816592534","57"
"4001","33.87324698084","130.81659031971","58"
"4001","33.87333314","130.816248088571","59"
"4001","33.8739291826087","130.814490380548","60"
"4001","33.8734264266658","130.814723968506","61"
"4001","33.8731246772611","130.814916270098","62"
"4001","33.872805","130.816070142857","63"
"1001","33.87276","130.816213","1"
"1001","33.872565","130.816555","2"
"1001","33.873048","130.816617","3"
